DOCX=artifacts/checkpoints/manuscript-working-f4-107.docx
BODY_PARAGRAPHS=676
P442	FN=[]	RTL=0	FLD=0	BOOK=3	Sonuç
P443	FN=[]	RTL=0	FLD=0	BOOK=0	Bu araştırmanın ortaya koyduğu temel sonuç, resm-i mushaf ile kırâat rivâyeti arasındaki ilişkinin yazı ile söz karşıtlığı üzerinden açıklanamayacağıdır. Kırâatlerin aslî aktarım zemini telakki, müşâfehe, edâ, isnad ve rivâyettir. Mushaf yazısı, hocadan öğrenilen okuyuşun yerine geçmez ve harf iskeletinden hareketle bağımsız kırâat üretmez. Buna karşılık sözlü olarak nakledilen okuyuşlar da ortak mushaf metninden bütünüyle bağımsız değildir. Kur’an’ın tarihsel sürekliliği, lafzın sözlü icrası ile bu lafzın ortak yazılı kaydının birlikte işlemesi sayesinde korunmuştur.
P444	FN=[]	RTL=0	FLD=0	BOOK=0	Bu birlikteliğin tarihsel zemini, nüzûl dönemindeki kayıt faaliyetleri ile Hz. Ebû Bekir ve Hz. Osman dönemlerinde yürütülen farklı işlemlerde görülmektedir. Hz. Ebû Bekir dönemindeki cem, dağınık yazılı malzemenin güvenilir bir derleme içinde toplanmasına yönelmiştir. Hz. Osman dönemindeki istinsah ise bu sahifeleri esas alarak mushaf nüshalarının çoğaltılmasını ve bölgesel ihtilafların ortak bir metin otoritesi içinde sınırlandırılmasını hedeflemiştir. Kaynaklarda heyetin yapısı ile imam mushaf dâhil altı mushafın dağılımına ilişkin farklı rivâyetlerin bulunması, tarihsel ayrıntılar konusunda ihtiyatlı olmayı gerektirmektedir. Bununla birlikte mevcut veriler, istinsahın yeni bir Kur’an metni oluşturma girişimi olmadığını; Osmânî mushafları ortak başvuru metni hâline getiren ve şahsi nüshalardan doğabilecek ihtilafları azaltmayı amaçlayan tedbir niteliği taşıdığını göstermektedir.
P445	FN=[]	RTL=0	FLD=0	BOOK=0	Osmânî istinsahın önemli sonuçlarından biri, okuyuş farklılıklarını ortadan kaldırmadan kabul edilebilir çeşitliliği ortak bir yazım çerçevesi içinde korumasıdır. Resm-i Osmânî bazı okuyuşları harf yapısıyla doğrudan göstermiş, bazı okuyuşlarla ihtimal yoluyla bağdaşabilmiştir. Gerçek uygunluk ile ihtimalî uygunluk arasındaki ayrım, aynı yazı iskeletinin sahih rivâyetle sabit birden fazla okuyuşa imkân verebilmesini açıklamaktadır. Bununla birlikte yazının bir okuyuşu mümkün kılması, o okuyuşun kendiliğinden sahih olduğunu göstermemekte, hangi okuyuşun kırâat olarak sabit olduğu telakki, isnad ve edâ yoluyla belirlenmektedir; resm-i Osmânî’ye uygunluk ise rivâyetin ortak mushaf geleneğiyle bağdaşıp bağdaşmadığını gösteren ölçülerden biridir.
P446	FN=[]	RTL=0	FLD=0	BOOK=0	Bu nedenle resm-i Osmânî’ye uygunluk, kırâatlerin kabulünde tek başına yeterli veya diğer şartlara indirgenebilecek bir ölçü değildir. Rivâyetin güvenilirliği, Arap dilinde bir veche sahip olması ve resm-i Osmânî’ye uygunluk birlikte değerlendirilmiştir. Bu uygunluğun bulunması zayıf veya temelsiz bir nakli sahih hâle getirmediği gibi, isnadın varlığı da mushaf hattına açıkça aykırı bir okuyuşa genel tilâvet alanında bağlayıcılık kazandırmamaktadır. Sahih, meşhur, âhâd ve şâz okuyuşlara ilişkin değerlendirmeler de bu çoklu ölçü düzeni içinde anlam kazanmaktadır. Şâz rivâyetlerin tefsîr ve dil bakımından bilgi değeri taşımasıyla bağlayıcı kırâat kabul edilmesi birbirinden ayrılmalıdır.
P447	FN=[]	RTL=0	FLD=0	BOOK=0	Resm-i Osmânî’ye uygunluk yalnız sahihlik şartları arasında anılmakla kalmamıştır. Ana metinde incelenen örnekler, mushaf hattının kırâat vecihlerinin tespit ve tahdidinde, rivâyetler arasında yapılan bazı tercihlerde, okuyuşların tevcîhinde ve vakıf uygulamalarında başvurulan bir veri olduğunu göstermektedir. Bu alanlarda yazım verileri tek ve mutlak belirleyici değildir; rivâyet, dil ve mana verileriyle birlikte yönlendirici bir işlev üstlenmektedir. Böylece mushaf yazımı, kırâatleri doğuran bir kaynak olmadan da onların hangi sınırlar içinde nakledileceğini, değerlendirileceğini ve uygulanacağını etkileyebilmiştir.
P448	FN=[]	RTL=0	FLD=0	BOOK=0	Mushaflarla birlikte mukrîlerin gönderildiğine dair rivâyetler, bu ilişkinin öğretim boyutunu da göstermektedir. Yazılı nüsha tek başına yeterli görülmemiş, onu okuyacak ve okutacak ehil kişinin edâsıyla birlikte değerlendirilmiştir. Mukrîlerin öğrettiği okuyuşlar da gönderildikleri mushafların yazımıyla ilişkilendirilmiştir. Bu uygulama, kırâatlerin aslî aktarım yolunun telakki ve müşâfehe olduğunu, Osmânî mushafların farklı bölgelerde ortak başvuru ve denetim ölçüsü sağladığını göstermektedir. Mushaf yazısı ile edânın birlikte işletilmesi, belirli okuyuşların bölgesel öğretim gelenekleri içinde yerleşmesinde de etkili olmuştur.
P449	FN=[]	RTL=0	FLD=0	BOOK=0	Şehir mushafları arasındaki sınırlı yazım farklılıkları, mushaf yazımı ile kırâatler arasındaki ilişkinin somut göstergelerindendir. Bazı farklılıklar kırâat ihtilafı doğurmadan dilsel veya anlamla ilgili açıklamalara imkân vermiş; bazıları farklı okuyuşların ayrı mushaflarda korunmasına hizmet etmiş; ortak yazımların bir kısmı ise birden fazla kırâatle ihtimal yoluyla bağdaşmıştır. Bu veriler, Osmânî mushafların bütün ayrıntılarda tek biçimli olmadığını, fakat farklılıkların da sınırsız bırakılmadığını göstermektedir. Yazılı birlik, sahih rivâyetle belirlenen ve mushaf yazımının imkân verdiği sınırlı okuyuş çeşitliliğiyle birlikte korunmuştur.
P450	FN=[]	RTL=0	FLD=0	BOOK=0	Sahâbe mushafları bu tarihsel sürecin önemli tanıklarıdır. Bu nüshalara nispet edilen okuyuşlar, açıklayıcı kayıtlar ve tertip farklılıkları erken aktarım ortamı hakkında bilgi sunmaktadır. Ancak bu tarihsel değer, onları Osmânî mushaflarla aynı normatif düzeye yerleştirmeyi gerektirmez. Kaynaklarda şahsi mushaflarda Kur’an lafzının yanında tefsîrî açıklamalar, bazı okuyuş kayıtları veya kişisel notlar bulunabildiği aktarılmaktadır. Hz. Osman döneminde oluşan ortak mushaf otoritesi, sahâbe mushaflarının tarihsel tanıklığını bütünüyle geçersiz kılmamış; ancak genel tilâvet ve yazım bakımından belirleyici başvuru konumunu Osmânî mushaflara vermiştir. Böylece tarihsel rivâyet değeri ile normatif mushaf otoritesi birbirinden ayrılmıştır.
P451	FN=[]	RTL=0	FLD=0	BOOK=0	Resm-i Osmânî’nin normatif bağlayıcılığı, onun bütün ayrıntılarının tartışmasız biçimde tevkîfî olduğu iddiasıyla özdeş değildir. Kaynaklarda Osmânî yazım geleneğinin kökeni ve yazım ayrıntılarının mahiyeti hakkında farklı görüşler bulunmaktadır. Resm-i Osmânî’ye bağlılık, tevkîfîlik görüşünün yanında sahâbe uygulaması, ümmetin kabulü, ihtiyat, metin güvenliği ve tarihsel devamlılık gibi gerekçelerle savunulmuştur. Mevcut veriler çerçevesinde tarihsel oluşum ile sonraki normatif otoriteyi ayırmak daha isabetlidir. Bu yazım geleneğinin ortak mushaf geleneğinde bağlayıcı hâle gelmesi, her ayrıntısına ilişkin tek bir tarihsel açıklamayı zorunlu kılmamaktadır.
P452	FN=[]	RTL=0	FLD=0	BOOK=0	Aynı ihtiyat, mushaf yazımının anlam ve hikmet boyutuna ilişkin yorumlarda da korunmalıdır. Hazif, ziyâde, ibdâl, vasl, fasl ve benzeri her yazım özelliğine zorunlu olarak gizli bir mana, belagat sırrı veya mucizevi işaret yüklemek, kaynakların taşıyabileceğinden daha geniş sonuçlara yol açabilir. Bazı yazım biçimlerinin kırâat ve mana ilişkisini açıklayan bir değeri bulunsa da erken Arap yazısının özellikleri, dönemsel imlâ teamülleri, şehir mushaflarına ilişkin rivâyetler ve dilsel gerekçeler öncelikle değerlendirilmelidir. Tarihsel-filolojik açıklamalar ile işârî yahut hikmet merkezli yorumlar aynı delil düzeyinde sunulmamalıdır.
P453	FN=[]	RTL=0	FLD=0	BOOK=0	Klasik resm geleneğinin çağdaş mushaf neşirlerinde sürdürülmesi, bu ilmin yalnız erken dönem tarihine ait olmadığını göstermektedir. Dânî ile Ebû Dâvud Süleymân b. Necâh’ın eserleri ve bu eserlerde derlenen resm rivâyetleri, modern basılı mushafların yazımında başvurulan klasik zeminin önemli bir bölümünü oluşturmuş; resm ile zaptın birbirinden ayrılması, mushafların belirli kırâat rivâyetlerine göre hazırlanmasına imkân vermiştir. Basılı mushaflar yalnız mevcut okuyuşları yansıtmamış, belirli rivâyetlerin standartlaşması ve geniş coğrafyalarda yaygınlaşması üzerinde de etkili olmuştur. Ana metinde ele alınan Hafs ve Verş örnekleri, mushaf neşri ile kırâatlerin bölgesel ve daha geniş dolaşımı arasındaki ilişkinin birlikte incelenmesi gerektiğini göstermektedir.
P454	FN=[]	RTL=0	FLD=0	BOOK=0	Kitabın ilmî katkısı, resm ve kırâat alanlarına yeni bir kaynak veya sahihlik ölçüsü eklemekten ziyade, tarihsel oluşumdan çağdaş mushaf neşrine kadar uzanan farklı meseleleri aynı ilişki içinde değerlendirmesidir. Bu yaklaşım; kırâatin kaynağı ile kabul şartını, resm-i Osmânî’ye uygunluk ile isnad sahihliğini, yazının okuyuşa imkân vermesi ile okuyuşun rivâyetle sabit olmasını ve sahâbe mushaflarının tarihsel değeri ile Osmânî mushafların normatif otoritesini birbirinden ayırmayı sağlamaktadır. Erken mushaf yazmaları, şehir mushaflarına nispet edilen farklılıklar, bölgesel kırâat gelenekleri ve çağdaş neşirlerin resm tercihleri, bu yaklaşımın daha ayrıntılı uygulanabileceği araştırma alanlarıdır.
P455	FN=[]	RTL=0	FLD=0	BOOK=0	Sonuç olarak resm-i Osmânî, kırâati doğuran bağımsız kaynak değil, rivâyet yoluyla nakledilen kırâatlerin ortak yazılı sınırıdır. Bu sınır, tek bir okuyuşu her durumda zorunlu kılan dar bir fonetik kalıp olmadığı gibi, sınırsız seslendirme ihtimallerine açık bir yazı alanı da değildir. Resm-i Osmânî, sahih rivâyetle sabit okuyuşların bir kısmını açık biçimde gösterip bir kısmıyla ihtimal yoluyla bağdaşarak metin ile edâ, yazılı birlik ile okuyuş çeşitliliği ve tarihsel süreklilik ile ilmî denetim arasında denge kurulmasına katkı sağlamıştır. Kur’an’ın doğru aktarımı da mushaf metninin, güvenilir rivâyetin, ehil hocanın, müşâfehenin ve edâ geleneğinin birlikte korunmasına bağlıdır.
P456	FN=[]	RTL=0	FLD=0	BOOK=0	
P457	FN=[]	RTL=0	FLD=0	BOOK=2	Kaynakça
P458	FN=[]	RTL=0	FLD=3	BOOK=0	Abay, Muhammet. Hz. Osman Sonrası Mushaf Tarihi. İstanbul: Marmara Üniversitesi İlâhiyat Fakültesi Vakfı Yayınları, 2023.
P459	FN=[]	RTL=0	FLD=0	BOOK=0	Abay, Muhammet. “Mushaf İmlâsında Ali el-Kârî Tarzı Meselesi”. Usûl İslam Araştırmaları 23 (2015), 8-44.
P460	FN=[]	RTL=0	FLD=0	BOOK=0	Adıgüzel, Mehmed. “Kıraat İlminde Tarik-Senet Boyutu ve Konu ile İlgili Te’lif Edilen Eserler”. Atatürk Üniversitesi İlahiyat Fakültesi Dergisi 233-257.
P461	FN=[]	RTL=0	FLD=0	BOOK=0	Akdemir, Mustafa Atilla. “Kırâat Resmu’l-Mushaf İlişkisi”. Kur’an ve Tefsir Araştırmaları IV. 117-134. İstanbul: Marmara Üniversitesi İlâhiyat Fakültesi Vakfı Yayınları, 2001.
P462	FN=[]	RTL=0	FLD=0	BOOK=0	Albânî, Muhammed Nâsıruddîn. Silsiletü’l-ehâdîsi’d-da’îfa ve’l-mevzû’a. 14 Cilt. Riyad: Mektebetü’l-Meârif, 1992.

FOOTNOTES
